trial,name,observing,influencing,vote,is_mentor,role,follow_proportion,is_mentee,n_votes,outcome,
10,Sage,1,0,F,0,mentee,100,1,3,fail,
10,Hunter,0,0,T,0,independent,100,0,3,fail,
10,Quinn,0,1,F,1,mentor,100,0,3,fail,
10,Chandler,0,0,F,0,independent,100,0,3,fail,
10,Bryce,0,0,T,0,independent,100,0,3,fail,
11,Quinn,1,0,F,0,mentee,100,1,4,fail,
11,Flynn,0,0,T,0,independent,100,0,4,fail,
11,Brooklyn,0,1,F,1,mentor,100,0,4,fail,
11,Kirby,0,0,F,0,independent,100,0,4,fail,
11,Oakley,0,0,F,0,independent,100,0,4,fail,
12,Darcy,0,0,T,0,independent,100,0,5,pass,
12,Skyler,1,0,T,0,mentee,100,1,5,pass,
12,Morgan,0,2,T,1,mentor,100,0,5,pass,
12,Noah,0,0,T,0,independent,100,0,5,pass,
12,Hayden,1,0,T,0,mentee,100,1,5,pass,
13,London,0,0,T,0,independent,100,0,4,pass,
13,Max,1,0,T,0,mentee,100,1,4,pass,
13,Sunny,0,0,F,0,independent,100,0,4,pass,
13,Skyler,1,0,T,0,mentee,100,1,4,pass,
13,Kris,0,2,T,1,mentor,100,0,4,pass,
14,Chandler,0,2,F,1,mentor,0,0,4,pass,
14,Hunter,0,0,T,0,independent,0,0,4,pass,
14,Cameron,1,0,T,0,mentee,0,1,4,pass,
14,Addison,1,0,T,0,mentee,0,1,4,pass,
14,Indigo,0,0,T,0,independent,0,0,4,pass,
15,Whitney,0,2,T,1,mentor,50,0,3,pass,
15,Ari,1,0,F,0,mentee,50,1,3,pass,
15,Sloan,1,0,T,0,mentee,50,1,3,pass,
15,Max,0,0,F,0,independent,50,0,3,pass,
15,Harper,0,0,T,0,independent,50,0,3,pass,
16,Kris,0,0,T,0,independent,0,0,3,fail,
16,Phoenix,1,0,F,0,mentee,0,1,3,fail,
16,Sage,0,2,F,1,mentor,0,0,3,fail,
16,Whitney,1,0,F,0,mentee,0,1,3,fail,
16,Emery,0,0,T,0,independent,0,0,3,fail,
17,Hunter,1,0,T,0,mentee,100,1,3,pass,
17,Sage,0,2,T,1,mentor,100,0,3,pass,
17,Avery,1,0,T,0,mentee,100,1,3,pass,
17,Addison,0,0,F,0,independent,100,0,3,pass,
17,Max,0,0,F,0,independent,100,0,3,pass,
18,Atlas,1,0,F,0,mentee,50,1,4,fail,
18,Max,1,0,T,0,mentee,50,1,4,fail,
18,Harper,0,0,F,0,independent,50,0,4,fail,
18,Sasha,0,2,F,1,mentor,50,0,4,fail,
18,Bryce,0,0,F,0,independent,50,0,4,fail,
19,Kris,0,0,F,0,independent,50,0,3,fail,
19,Riley,1,0,T,0,mentee,50,1,3,fail,
19,Blake,0,2,T,1,mentor,50,0,3,fail,
19,Cameron,1,0,F,0,mentee,50,1,3,fail,
19,Taylor,0,0,F,0,independent,50,0,3,fail,
20,Robin,1,0,F,0,mentee,50,1,4,pass,
20,Chandler,0,2,T,1,mentor,50,0,4,pass,
20,Max,0,0,T,0,independent,50,0,4,pass,
20,Sage,0,0,T,0,independent,50,0,4,pass,
20,Emery,1,0,T,0,mentee,50,1,4,pass,
